Nested Sampling Global Log-Evidence           :   -0.363659518734939120E+05  +/-    0.206357321896508822E+00

Dim No.       Mean        Sigma
   1    0.326051547935141628E+00    0.817988412740764184E-02
   2    0.143924730202038997E+01    0.166667219645672493E+00
   3    0.139021118970836213E+02    0.115947941935755194E+01
   4    0.102672797889103617E+01    0.744063186578571567E-01
   5    0.226407834476192527E+01    0.905109236657392346E-01
   6    0.650087738053844871E-01    0.380653720372102072E-01
   7    0.140565371710167503E+00    0.889209652639343789E-01
   8    0.563698953429045080E+01    0.324424733491629369E+00
   9    0.596719208983639327E+01    0.296123175170167952E+00
  10    0.260769009060528800E+01    0.560116869430073022E-01
  11    0.232026524215646485E+00    0.304033975088462451E-01
  12    0.271511239217276656E+00    0.256666412405600133E-01
  13    0.544032382447668361E+01    0.183364123794177547E+00
  14    0.611060828007892454E+01    0.876047295278595956E-02
  15    0.695310512897327260E+00    0.184861510752136526E+00
  16    0.994257938859193446E+00    0.952417558090261906E-01
  17    0.191968526304984038E+00    0.140376994101310493E+00
  18    0.987827319889502786E+00    0.892584187922604716E-01
  19    0.455456894702400361E+00    0.226475184961818284E-02
  20    0.342321396477262285E+00    0.362099030202441385E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.314936911542478382E+00
   2    0.138130928291227595E+01
   3    0.138349892229008677E+02
   4    0.107433239102822720E+01
   5    0.231606161702660129E+01
   6    0.110905905367894755E+00
   7    0.133386278184933565E+00
   8    0.571403639032643706E+01
   9    0.610702634333249073E+01
  10    0.265124170869542164E+01
  11    0.237757969122013441E+00
  12    0.272963289675656473E+00
  13    0.571289437992899973E+01
  14    0.611091226200204751E+01
  15    0.829310680644554044E+00
  16    0.116776253487369619E+01
  17    0.164386590362862392E-01
  18    0.949606174429130201E+00
  19    0.456296491007810112E+00
  20    0.498591668746703354E+00

MAP Parameters
Dim No.        Parameter
   1    0.314936911542478382E+00
   2    0.138130928291227595E+01
   3    0.138349892229008677E+02
   4    0.107433239102822720E+01
   5    0.231606161702660129E+01
   6    0.110905905367894755E+00
   7    0.133386278184933565E+00
   8    0.571403639032643706E+01
   9    0.610702634333249073E+01
  10    0.265124170869542164E+01
  11    0.237757969122013441E+00
  12    0.272963289675656473E+00
  13    0.571289437992899973E+01
  14    0.611091226200204751E+01
  15    0.829310680644554044E+00
  16    0.116776253487369619E+01
  17    0.164386590362862392E-01
  18    0.949606174429130201E+00
  19    0.456296491007810112E+00
  20    0.498591668746703354E+00
