Nested Sampling Global Log-Evidence           :   -0.363680031287227903E+05  +/-    0.208727675446313876E+00
Nested Importance Sampling Global Log-Evidence:   -0.363759144593596939E+05  +/-    0.167470887639528838E-01

Dim No.       Mean        Sigma
   1    0.326125585415878494E+00    0.867297332532769930E-02
   2    0.143018452644095184E+01    0.175424878115874788E+00
   3    0.137703680425108814E+02    0.124389293565286163E+01
   4    0.101800562037611342E+01    0.755748166130136567E-01
   5    0.224266883057946176E+01    0.904233547527011350E-01
   6    0.765344934683684364E-01    0.106854423361240538E-01
   7    0.610418652683947194E+01    0.130478463101176678E-01
   8    0.260088296898370608E+01    0.559924646308865986E-01
   9    0.273674868863217013E+00    0.265175153473648888E-01
  10    0.233155712747284138E+00    0.318927666234813806E-01
  11    0.610968557105516563E+01    0.850729398062147202E-02
  12    0.626367783060141070E+00    0.182996600994256547E+00
  13    0.992678873616458124E+00    0.970880414280471393E-01
  14    0.198336867609825773E+00    0.149062484323677857E+00
  15    0.994536118231161614E+00    0.939919585272641911E-01
  16    0.455263692597372871E+00    0.237880575226792667E-02
  17    0.324501975869695147E+00    0.378165657985659986E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.336793253850493635E+00
   2    0.159242252411888296E+01
   3    0.149436612926094980E+02
   4    0.984343441146659059E+00
   5    0.223158695736117929E+01
   6    0.718883403004594718E-01
   7    0.610860748136519405E+01
   8    0.258818649563776981E+01
   9    0.272499290209381573E+00
  10    0.237096325731429775E+00
  11    0.611204195144800799E+01
  12    0.613859545134022522E+00
  13    0.971055676486793806E+00
  14    0.213885526029857452E-03
  15    0.994127256659159242E+00
  16    0.454115827418820062E+00
  17    0.498373231219062185E+00

MAP Parameters
Dim No.        Parameter
   1    0.326718418492196405E+00
   2    0.152264159828981160E+01
   3    0.136056351961601827E+02
   4    0.100186890787515814E+01
   5    0.228302021081204387E+01
   6    0.771363457487438814E-01
   7    0.610884887655157005E+01
   8    0.264913453173555791E+01
   9    0.250431367619487977E+00
  10    0.201589490408779326E+00
  11    0.611096666512570330E+01
  12    0.898342016923992182E+00
  13    0.114840916481423738E+01
  14    0.362414196489383167E+00
  15    0.107145092359617711E+01
  16    0.455665490974417886E+00
  17    0.498777597895779246E+00
