Nested Sampling Global Log-Evidence           :   -0.363661796011036058E+05  +/-    0.207468163769702674E+00

Dim No.       Mean        Sigma
   1    0.325997088073764874E+00    0.821523462947876780E-02
   2    0.145475833474155491E+01    0.166041441314366572E+00
   3    0.138069336365782700E+02    0.114682934934067360E+01
   4    0.100734304011231046E+01    0.716652906619334312E-01
   5    0.221862621315901754E+01    0.934636417146447462E-01
   6    0.752878649376344661E-01    0.929879578278499687E-02
   7    0.610463816768369760E+01    0.127057389019229749E-01
   8    0.263989942361734631E+01    0.660688029109135072E-01
   9    0.292537265628445453E+00    0.367417570867438620E-01
  10    0.264995198599825432E+01    0.760396538029523700E-01
  11    0.255719616842071340E+00    0.413577194944212828E-01
  12   -0.198099923313147311E-01    0.235388345048605785E-01
  13    0.611249659472016837E+01    0.851746724071771738E-02
  14    0.614731365336805613E+00    0.169917468445882958E+00
  15    0.990742786845187795E+00    0.924678743951793253E-01
  16    0.186370427712324233E+00    0.136492853025030503E+00
  17    0.993671670493404657E+00    0.859563393236390944E-01
  18    0.454405457497386311E+00    0.249104249710907673E-02
  19    0.341338345998456971E+00    0.346091491976641352E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.328978844399083370E+00
   2    0.140337033600940120E+01
   3    0.133784624585842025E+02
   4    0.100434973113637094E+01
   5    0.219377527309307840E+01
   6    0.791608842011687908E-01
   7    0.610655622382022134E+01
   8    0.271629852479304956E+01
   9    0.322342254787806259E+00
  10    0.274633014642517770E+01
  11    0.284416965175110226E+00
  12   -0.483260905056053860E-01
  13    0.611730491798804454E+01
  14    0.460499862995095377E+00
  15    0.103356827187160971E+01
  16    0.222710719836020192E-01
  17    0.874856631973894849E+00
  18    0.454255509351488285E+00
  19    0.476829413031657379E+00

MAP Parameters
Dim No.        Parameter
   1    0.323968896935188377E+00
   2    0.123656378443409531E+01
   3    0.119254246180298118E+02
   4    0.102862384643139637E+01
   5    0.218117560127367049E+01
   6    0.798130158911794091E-01
   7    0.610861681943202939E+01
   8    0.266807168538438644E+01
   9    0.312630908470709290E+00
  10    0.269483642734963214E+01
  11    0.280628342280830945E+00
  12   -0.273705901223997572E-01
  13    0.612349009371844488E+01
  14    0.711781487289974008E-01
  15    0.847693987250767833E+00
  16    0.103213112447850128E+00
  17    0.929525301495372047E+00
  18    0.455110334088131618E+00
  19    0.483639366864434539E+00
