Nested Sampling Global Log-Evidence           :   -0.372119820359679434E+05  +/-    0.189185910197286283E+00

Dim No.       Mean        Sigma
   1    0.324387523799362365E+00    0.807723069592015605E-02
   2    0.292390609062102946E+01    0.113041057375192645E-01
   3    0.159622772898552761E+02    0.357365560055084436E-01
   4    0.123252124554963105E+01    0.239794406047426183E-01
   5    0.125562307719131860E+01    0.225330038842123798E-01
   6    0.918514728902736083E-01    0.409427144836496063E-02
   7    0.607521942999218378E+01    0.327543779963799034E-02
   8    0.309564682406180854E-01    0.292579776963389840E-01
   9    0.100422913962772831E+01    0.922186952882668720E-01
  10    0.380100663454749632E+00    0.196816997449708708E+00
  11    0.100807614019051139E+01    0.888624906499935058E-01
  12   -0.880575321839003888E-01    0.640468565837112023E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.314981127609334832E+00
   2    0.293784805842866614E+01
   3    0.159962978288840674E+02
   4    0.122884570839016916E+01
   5    0.125904783197553072E+01
   6    0.847090299106802586E-01
   7    0.607812082802672560E+01
   8    0.196601002334181180E-02
   9    0.102755866384690142E+01
  10    0.240609502330325187E+00
  11    0.110183551043750927E+01
  12   -0.888016069518448858E-01

MAP Parameters
Dim No.        Parameter
   1    0.333951818191184746E+00
   2    0.291711069732497652E+01
   3    0.159629704589302790E+02
   4    0.121391101206385299E+01
   5    0.127960515168897260E+01
   6    0.945317196548965399E-01
   7    0.607378375302908946E+01
   8    0.149440760838237870E-01
   9    0.916932361622955217E+00
  10    0.410851984659403757E+00
  11    0.106996590170358474E+01
  12   -0.869151268998799020E-01
