Nested Sampling Global Log-Evidence           :   -0.363776024679932962E+05  +/-    0.210050316651298641E+00

Dim No.       Mean        Sigma
   1    0.331164789823152783E+00    0.838513106694449388E-02
   2    0.111576085781089818E+01    0.962934846644797199E-01
   3    0.105552411270548632E+02    0.996057359469013637E+00
   4    0.103159995149308936E+01    0.739303262930781357E-01
   5    0.247481749195845868E+01    0.642227513933519151E-01
   6    0.140224294293467139E+00    0.165982594825912350E-01
   7    0.610737890993824983E+01    0.887339963094960736E-02
   8    0.277633290168732705E+01    0.230766692451913093E-01
   9    0.294739323842488299E+00    0.351892692684365321E-01
  10    0.609606148277497617E+01    0.794245719218220070E-02
  11    0.124115412011046966E+01    0.170922482321812091E+00
  12    0.961425947172081741E+00    0.985404843973568118E-01
  13    0.269185706464311780E+00    0.190208314367126624E+00
  14    0.913904789525626371E+00    0.924789258111459733E-01
  15    0.462295324356081061E+00    0.132813696061164725E-02
  16   -0.496376648182543623E+00    0.244423823240202225E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.352472476729756401E+00
   2    0.107501775376056052E+01
   3    0.103654925586140294E+02
   4    0.106278810750846686E+01
   5    0.245678777953637928E+01
   6    0.156511712329708508E+00
   7    0.610999448458164185E+01
   8    0.274281197564345813E+01
   9    0.303122455019911308E+00
  10    0.610271785620093699E+01
  11    0.980184500042108886E+00
  12    0.862418370411112245E+00
  13    0.133557047233596127E+00
  14    0.670933748320047041E+00
  15    0.461254677565398508E+00
  16   -0.498208728819146462E+00

MAP Parameters
Dim No.        Parameter
   1    0.324470266604709234E+00
   2    0.108403958869079076E+01
   3    0.107759002653469160E+02
   4    0.107601443597125890E+01
   5    0.246110896871956353E+01
   6    0.120789880208706180E+00
   7    0.610260835741009888E+01
   8    0.278843682884148070E+01
   9    0.265957029363235065E+00
  10    0.609533406488564200E+01
  11    0.980839757591687622E+00
  12    0.987246281090746081E+00
  13    0.979082493891886146E-01
  14    0.939754203501550700E+00
  15    0.462121188199699162E+00
  16   -0.496405253694182980E+00
