Nested Sampling Global Log-Evidence           :   -0.207163622227034648E+05  +/-    0.145337125481650786E+00

Dim No.       Mean        Sigma
   1    0.212107539705330561E+01    0.664750131300750058E-01
   2    0.124534545652508637E+02    0.912340244175150472E+00
   3    0.111119846927590160E+01    0.146111682580815444E+00
   4    0.438722178967091495E-01    0.288376208621260672E-02
   5    0.190821787588879493E+00    0.395662385995872390E+00
   6    0.124209473767997380E+01    0.336239458379550271E+00
   7    0.154579601410325257E+00    0.662499655061157267E-01
   8    0.597892351511283238E+01    0.539694198187521956E-01
   9    0.535834730062376252E+00    0.204869941365548563E+00
  10    0.183096043948078724E+01    0.345443332378757517E+00
  11    0.144335546416965166E+00    0.621938406558824458E-01
  12    0.599188995163498994E+01    0.527864172569010581E-01
  13    0.102609642008587132E+01    0.130869509020367425E+00
  14    0.202860647550568540E+01    0.166618867757274147E+01
  15    0.938897084591883035E+00    0.132461276326097221E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.207553790520284531E+01
   2    0.124277959340236244E+02
   3    0.940311954642669923E+00
   4    0.438441683520067044E-01
   5   -0.244034382951989676E+00
   6    0.713779896036512596E+00
   7    0.102355128326157785E+00
   8    0.603527826802591694E+01
   9    0.691683800371188151E+00
  10    0.119273349220972302E+01
  11    0.790577556043362273E-01
  12    0.604198099155281021E+01
  13    0.114894149451320948E+01
  14    0.167431744208137501E+00
  15    0.819296779480596093E+00

MAP Parameters
Dim No.        Parameter
   1    0.217899546507248454E+01
   2    0.128342575088435531E+02
   3    0.115407458419938136E+01
   4    0.468363557278042991E-01
   5   -0.248668365148793313E+00
   6    0.132891690697774378E+01
   7    0.187076813623799354E+00
   8    0.592363242965011771E+01
   9    0.689241430886665674E+00
  10    0.137718781114419175E+01
  11    0.139586127796318432E+00
  12    0.597971125679595339E+01
  13    0.980047119983605497E+00
  14    0.289577803828269609E+01
  15    0.955520713375220820E+00
